"year","total","time"
2000,202,Jan 2000
2000,123,Feb 2000
2000,196,Mar 2000
2000,338,Apr 2000
2000,279,May 2000
2000,177,Jun 2000
2000,156,Jul 2000
2000,205,Aug 2000
2000,265,Sep 2000
2000,284,Oct 2000
2000,306,Nov 2000
2000,292,Dec 2000
2001,297,Jan 2001
2001,273,Feb 2001
2001,247,Mar 2001
2001,298,Apr 2001
2001,257,May 2001
2001,428,Jun 2001
2001,401,Jul 2001
2001,338,Aug 2001
2001,271,Sep 2001
2001,288,Oct 2001
2001,223,Nov 2001
2001,231,Dec 2001
2002,286,Jan 2002
2002,313,Feb 2002
2002,229,Mar 2002
2002,366,Apr 2002
2002,287,May 2002
2002,350,Jun 2002
2002,323,Jul 2002
2002,323,Aug 2002
2002,707,Sep 2002
2002,379,Oct 2002
2002,274,Nov 2002
2002,394,Dec 2002
2003,377,Jan 2003
2003,320,Feb 2003
2003,502,Mar 2003
2003,505,Apr 2003
2003,600,May 2003
2003,515,Jun 2003
2003,482,Jul 2003
2003,558,Aug 2003
2003,396,Sep 2003
2003,374,Oct 2003
2003,318,Nov 2003
2003,344,Dec 2003
2004,376,Jan 2004
2004,798,Feb 2004
2004,615,Mar 2004
2004,384,Apr 2004
2004,608,May 2004
2004,473,Jun 2004
2004,479,Jul 2004
2004,603,Aug 2004
2004,509,Sep 2004
2004,447,Oct 2004
2004,465,Nov 2004
2004,571,Dec 2004
2005,457,Jan 2005
2005,417,Feb 2005
2005,589,Mar 2005
2005,462,Apr 2005
2005,515,May 2005
2005,502,Jun 2005
2005,471,Jul 2005
2005,461,Aug 2005
2005,394,Sep 2005
2005,766,Oct 2005
2005,542,Nov 2005
2005,551,Dec 2005
2006,394,Jan 2006
2006,408,Feb 2006
2006,498,Mar 2006
2006,660,Apr 2006
2006,492,May 2006
2006,627,Jun 2006
2006,416,Jul 2006
2006,484,Aug 2006
2006,389,Sep 2006
2006,471,Oct 2006
2006,401,Nov 2006
2006,511,Dec 2006
2007,470,Jan 2007
2007,379,Feb 2007
2007,549,Mar 2007
2007,708,Apr 2007
2007,511,May 2007
2007,456,Jun 2007
2007,591,Jul 2007
2007,618,Aug 2007
2007,382,Sep 2007
2007,480,Oct 2007
2007,413,Nov 2007
2007,396,Dec 2007
2008,434,Jan 2008
2008,666,Feb 2008
2008,652,Mar 2008
2008,386,Apr 2008
2008,492,May 2008
2008,888,Jun 2008
2008,726,Jul 2008
2008,651,Aug 2008
2008,305,Sep 2008
2008,368,Oct 2008
2008,157,Nov 2008
2008,224,Dec 2008
2009,26,Jan 2009
2009,19,Feb 2009
2009,22,Mar 2009
2009,61,Apr 2009
2009,41,May 2009
2009,25,Jun 2009
2009,39,Jul 2009
2009,18,Aug 2009
2009,35,Sep 2009
2009,6,Oct 2009
2009,27,Nov 2009
2009,25,Dec 2009
2010,38,Jan 2010
2010,27,Feb 2010
2010,32,Mar 2010
2010,33,Apr 2010
2010,32,May 2010
2010,25,Jun 2010
2010,30,Jul 2010
2010,31,Aug 2010
2010,29,Sep 2010
2010,34,Oct 2010
2010,33,Nov 2010
2010,37,Dec 2010
2011,45,Jan 2011
2011,34,Feb 2011
2011,28,Mar 2011
2011,27,Apr 2011
2011,42,May 2011
2011,45,Jun 2011
2011,48,Jul 2011
2011,35,Aug 2011
2011,43,Sep 2011
2011,144,Oct 2011
2011,76,Nov 2011
2011,44,Dec 2011
2012,49,Jan 2012
2012,35,Feb 2012
2012,48,Mar 2012
2012,70,Apr 2012
2012,108,May 2012
2012,53,Jun 2012
2012,41,Jul 2012
2012,65,Aug 2012
2012,46,Sep 2012
2012,39,Oct 2012
2012,30,Nov 2012
2012,32,Dec 2012
2013,48,Jan 2013
2013,32,Feb 2013
2013,42,Mar 2013
2013,123,Apr 2013
2013,114,May 2013
2013,82,Jun 2013
2013,45,Jul 2013
2013,44,Aug 2013
2013,53,Sep 2013
2013,47,Oct 2013
2013,70,Nov 2013
